,Date,High,Low,Open,Close
220,2020-08-09 00:00:00+00:00,1.17899,1.177355,1.178985,1.17813
221,2020-08-10 00:00:00+00:00,1.180065,1.17359,1.17814,1.17362
222,2020-08-11 00:00:00+00:00,1.18077,1.172235,1.173625,1.1735
223,2020-08-12 00:00:00+00:00,1.18166,1.17112,1.17351,1.179415
224,2020-08-13 00:00:00+00:00,1.18641,1.17936,1.179405,1.181565
225,2020-08-14 00:00:00+00:00,1.185045,1.17819,1.18157,1.184215
227,2020-08-16 00:00:00+00:00,1.1853,1.18345,1.184155,1.18521
228,2020-08-17 00:00:00+00:00,1.188095,1.18288,1.1852,1.187485
229,2020-08-18 00:00:00+00:00,1.19656,1.18743,1.187475,1.194645
230,2020-08-19 00:00:00+00:00,1.195275,1.18304,1.194635,1.18438
231,2020-08-20 00:00:00+00:00,1.18711,1.18023,1.18439,1.18697
232,2020-08-21 00:00:00+00:00,1.18829,1.17542,1.18698,1.1796
234,2020-08-23 00:00:00+00:00,1.180665,1.17952,1.17961,1.179835
235,2020-08-24 00:00:00+00:00,1.18496,1.17844,1.17984,1.17937
236,2020-08-25 00:00:00+00:00,1.18434,1.17843,1.17936,1.18342
237,2020-08-26 00:00:00+00:00,1.18405,1.17725,1.18341,1.184
238,2020-08-27 00:00:00+00:00,1.19012,1.17626,1.184015,1.18205
239,2020-08-28 00:00:00+00:00,1.19198,1.18111,1.18206,1.19035
241,2020-08-30 00:00:00+00:00,1.192025,1.19021,1.19056,1.19174
242,2020-08-31 00:00:00+00:00,1.1966,1.188415,1.19173,1.19368
243,2020-09-01 00:00:00+00:00,1.2011,1.190155,1.19369,1.19226
244,2020-09-02 00:00:00+00:00,1.19239,1.182235,1.19227,1.18458
245,2020-09-03 00:00:00+00:00,1.186455,1.17891,1.18459,1.18414
246,2020-09-04 00:00:00+00:00,1.186535,1.1781,1.18415,1.18382
248,2020-09-06 00:00:00+00:00,1.18465,1.18336,1.18464,1.18345
249,2020-09-07 00:00:00+00:00,1.18487,1.1812,1.18347,1.18188
250,2020-09-08 00:00:00+00:00,1.18274,1.17572,1.181885,1.17669
251,2020-09-09 00:00:00+00:00,1.18339,1.17529,1.17668,1.18037
252,2020-09-10 00:00:00+00:00,1.19174,1.18007,1.18036,1.182355
253,2020-09-11 00:00:00+00:00,1.18741,1.18236,1.18236,1.18466
255,2020-09-13 00:00:00+00:00,1.184745,1.183655,1.18388,1.18406
256,2020-09-14 00:00:00+00:00,1.18879,1.18322,1.18405,1.186715
257,2020-09-15 00:00:00+00:00,1.19004,1.18396,1.18672,1.184215
258,2020-09-16 00:00:00+00:00,1.18824,1.1788,1.18421,1.180445
259,2020-09-17 00:00:00+00:00,1.185615,1.17377,1.18046,1.18471
260,2020-09-18 00:00:00+00:00,1.18703,1.18262,1.184725,1.184015
262,2020-09-20 00:00:00+00:00,1.184995,1.184045,1.184795,1.184565
263,2020-09-21 00:00:00+00:00,1.18717,1.17319,1.18455,1.17629
264,2020-09-22 00:00:00+00:00,1.177155,1.1692,1.17627,1.17064
265,2020-09-23 00:00:00+00:00,1.171895,1.16515,1.17063,1.16569
266,2020-09-24 00:00:00+00:00,1.168685,1.16266,1.165705,1.16737
267,2020-09-25 00:00:00+00:00,1.168495,1.16124,1.16736,1.16313
269,2020-09-27 00:00:00+00:00,1.163795,1.1624,1.162435,1.163435
270,2020-09-28 00:00:00+00:00,1.168,1.161525,1.16343,1.167705
271,2020-09-29 00:00:00+00:00,1.174575,1.166565,1.16769,1.174175
272,2020-09-30 00:00:00+00:00,1.175515,1.168475,1.17416,1.17234
273,2020-10-01 00:00:00+00:00,1.17697,1.17173,1.17236,1.17441
274,2020-10-02 00:00:00+00:00,1.17446,1.16959,1.174405,1.17166
276,2020-10-04 00:00:00+00:00,1.172005,1.17091,1.171505,1.171965
277,2020-10-05 00:00:00+00:00,1.17975,1.17179,1.17198,1.178915
278,2020-10-06 00:00:00+00:00,1.180805,1.173045,1.1789,1.17372
279,2020-10-07 00:00:00+00:00,1.17819,1.17252,1.17373,1.17658
280,2020-10-08 00:00:00+00:00,1.17817,1.1733,1.176575,1.176695
281,2020-10-09 00:00:00+00:00,1.183105,1.17579,1.17669,1.18267
283,2020-10-11 00:00:00+00:00,1.18217,1.181135,1.18171,1.18159
284,2020-10-12 00:00:00+00:00,1.18267,1.178685,1.18157,1.1813
285,2020-10-13 00:00:00+00:00,1.1814,1.173105,1.18132,1.174215
286,2020-10-14 00:00:00+00:00,1.177105,1.17201,1.17421,1.174475
287,2020-10-15 00:00:00+00:00,1.175785,1.168855,1.17446,1.17066
288,2020-10-16 00:00:00+00:00,1.17461,1.16942,1.17065,1.17175
290,2020-10-18 00:00:00+00:00,1.172095,1.171155,1.17206,1.17156
291,2020-10-19 00:00:00+00:00,1.17937,1.17033,1.17154,1.17685
292,2020-10-20 00:00:00+00:00,1.184075,1.17601,1.176845,1.18291
293,2020-10-21 00:00:00+00:00,1.18808,1.182815,1.1829,1.18518
294,2020-10-22 00:00:00+00:00,1.186685,1.18116,1.185165,1.18147
295,2020-10-23 00:00:00+00:00,1.186485,1.17869,1.181455,1.186105
297,2020-10-25 00:00:00+00:00,1.185995,1.18395,1.18564,1.184825
298,2020-10-26 00:00:00+00:00,1.18505,1.18034,1.18481,1.180915
299,2020-10-27 00:00:00+00:00,1.18388,1.17698,1.18091,1.17816
300,2020-10-28 00:00:00+00:00,1.17881,1.17179,1.17818,1.17483
301,2020-10-29 00:00:00+00:00,1.175875,1.16503,1.17484,1.16784
302,2020-10-30 00:00:00+00:00,1.170425,1.16401,1.16782,1.16479
304,2020-11-01 00:00:00+00:00,1.164965,1.163875,1.164965,1.16417
305,2020-11-02 00:00:00+00:00,1.16557,1.16224,1.164165,1.16405
306,2020-11-03 00:00:00+00:00,1.17637,1.16374,1.16405,1.176185
307,2020-11-04 00:00:00+00:00,1.17706,1.160275,1.176185,1.173235
308,2020-11-05 00:00:00+00:00,1.18597,1.17109,1.173235,1.181665
309,2020-11-06 00:00:00+00:00,1.189095,1.179555,1.18169,1.18745
311,2020-11-08 00:00:00+00:00,1.1895,1.1884,1.188795,1.189255
312,2020-11-09 00:00:00+00:00,1.192005,1.179555,1.18926,1.18243
313,2020-11-10 00:00:00+00:00,1.18433,1.177985,1.18243,1.181845
314,2020-11-11 00:00:00+00:00,1.18328,1.17456,1.181855,1.17794
315,2020-11-12 00:00:00+00:00,1.182315,1.17588,1.17794,1.180415
316,2020-11-13 00:00:00+00:00,1.183735,1.17996,1.18041,1.183505
318,2020-11-15 00:00:00+00:00,1.18488,1.18333,1.18355,1.184485
319,2020-11-16 00:00:00+00:00,1.18688,1.18143,1.184485,1.18594
320,2020-11-17 00:00:00+00:00,1.18938,1.184265,1.18594,1.18637
321,2020-11-18 00:00:00+00:00,1.1891,1.1845,1.18637,1.18454
322,2020-11-19 00:00:00+00:00,1.18825,1.18164,1.18454,1.186535
323,2020-11-20 00:00:00+00:00,1.1891,1.18499,1.18655,1.185635
325,2020-11-22 00:00:00+00:00,1.186605,1.18548,1.185575,1.186565
326,2020-11-23 00:00:00+00:00,1.1906,1.18002,1.186565,1.18424
327,2020-11-24 00:00:00+00:00,1.18978,1.18386,1.18424,1.189755
328,2020-11-25 00:00:00+00:00,1.192975,1.188195,1.18976,1.191645
329,2020-11-26 00:00:00+00:00,1.19409,1.188545,1.191645,1.191105
330,2020-11-27 00:00:00+00:00,1.19638,1.19096,1.19111,1.19638
332,2020-11-29 00:00:00+00:00,1.197385,1.19633,1.19633,1.19719
333,2020-11-30 00:00:00+00:00,1.20032,1.192405,1.1972,1.193745
334,2020-12-01 00:00:00+00:00,1.20767,1.19355,1.193745,1.20708
335,2020-12-02 00:00:00+00:00,1.21185,1.20401,1.20708,1.21141
336,2020-12-03 00:00:00+00:00,1.21746,1.21012,1.21141,1.214495
337,2020-12-04 00:00:00+00:00,1.217745,1.21102,1.21452,1.212065
339,2020-12-06 00:00:00+00:00,1.21329,1.211985,1.21269,1.21202
340,2020-12-07 00:00:00+00:00,1.21663,1.20786,1.212025,1.210955
341,2020-12-08 00:00:00+00:00,1.21341,1.20956,1.21096,1.21096
342,2020-12-09 00:00:00+00:00,1.21475,1.205885,1.21096,1.20785
343,2020-12-10 00:00:00+00:00,1.2159,1.20785,1.20785,1.21435
344,2020-12-11 00:00:00+00:00,1.216295,1.21054,1.21435,1.21114
346,2020-12-13 00:00:00+00:00,1.21416,1.2133,1.2135,1.21333
347,2020-12-14 00:00:00+00:00,1.21767,1.21157,1.21333,1.21488
348,2020-12-15 00:00:00+00:00,1.216885,1.212175,1.21488,1.215435
349,2020-12-16 00:00:00+00:00,1.22122,1.21252,1.21544,1.219625
350,2020-12-17 00:00:00+00:00,1.22727,1.21899,1.219625,1.226155
351,2020-12-18 00:00:00+00:00,1.22686,1.22256,1.226155,1.22577
353,2020-12-20 00:00:00+00:00,1.223515,1.221155,1.22276,1.221185
354,2020-12-21 00:00:00+00:00,1.2253,1.212975,1.22119,1.2235
355,2020-12-22 00:00:00+00:00,1.22572,1.215235,1.2235,1.218775
356,2020-12-23 00:00:00+00:00,1.22211,1.215405,1.218745,1.21941
357,2020-12-24 00:00:00+00:00,1.22157,1.217755,1.21941,1.218485
360,2020-12-27 00:00:00+00:00,1.220715,1.21819,1.21909,1.220405
361,2020-12-28 00:00:00+00:00,1.22505,1.21812,1.22041,1.22197
362,2020-12-29 00:00:00+00:00,1.22752,1.22196,1.22197,1.225235
363,2020-12-30 00:00:00+00:00,1.230995,1.22514,1.225235,1.229875
364,2021-01-03 00:00:00+00:00,1.225275,1.223105,1.22337,1.22501
365,2021-01-04 00:00:00+00:00,1.230985,1.22388,1.225,1.225275
366,2021-01-05 00:00:00+00:00,1.23057,1.22473,1.225275,1.229865
367,2021-01-06 00:00:00+00:00,1.23495,1.22657,1.22987,1.23384
368,2021-01-07 00:00:00+00:00,1.23444,1.224515,1.23384,1.22692
369,2021-01-08 00:00:00+00:00,1.22846,1.21931,1.226915,1.22216
370,2021-01-10 00:00:00+00:00,1.22269,1.218245,1.22178,1.218715
371,2021-01-11 00:00:00+00:00,1.219975,1.21324,1.21872,1.21606
372,2021-01-12 00:00:00+00:00,1.22097,1.21373,1.216065,1.22088
373,2021-01-13 00:00:00+00:00,1.22228,1.213995,1.22088,1.2162
374,2021-01-14 00:00:00+00:00,1.21784,1.211115,1.2162,1.215085
375,2021-01-15 00:00:00+00:00,1.216255,1.20747,1.21508,1.207505
376,2021-01-17 00:00:00+00:00,1.208655,1.206625,1.20793,1.20664
377,2021-01-18 00:00:00+00:00,1.20868,1.20537,1.20664,1.20778
378,2021-01-19 00:00:00+00:00,1.214495,1.20775,1.20778,1.21394
379,2021-01-20 00:00:00+00:00,1.215825,1.207685,1.21394,1.21147
380,2021-01-21 00:00:00+00:00,1.21729,1.21095,1.21147,1.21657
381,2021-01-22 00:00:00+00:00,1.218955,1.215165,1.21657,1.21717
382,2021-01-24 00:00:00+00:00,1.21708,1.21621,1.21671,1.21671
383,2021-01-25 00:00:00+00:00,1.218335,1.21161,1.216705,1.214305
384,2021-01-26 00:00:00+00:00,1.217595,1.21079,1.2143,1.21634
385,2021-01-27 00:00:00+00:00,1.21698,1.205855,1.21634,1.210295
